2000-2005	SEER	Baseline	Incidence	Rates	Whites														
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
40-44__yrs	2.4110E-01	1.0920E-01	1.4020E-01	2.4360E-01	2.2580E-01	1.3150E-01	6.5500E-02	1.3820E-01	2.7080E-01	4.6600E-02	0.0000E+00	0.0000E+00	2.2530E-01	2.0130E-01	2.4080E-01	2.0290E-01	2.0110E-01	1.7660E-01	5.5290E-01
45-49__yrs	3.6290E-01	1.8390E-01	2.0670E-01	3.5810E-01	3.2720E-01	2.5020E-01	9.2200E-02	2.1150E-01	4.4130E-01	7.6000E-02	0.0000E+00	0.0000E+00	5.2060E-01	3.0960E-01	3.4600E-01	2.4530E-01	2.3010E-01	2.1290E-01	6.3340E-01
50-54__yrs	5.0300E-01	2.8270E-01	2.7720E-01	5.4730E-01	4.7700E-01	3.6270E-01	1.2710E-01	3.2610E-01	6.9510E-01	9.9300E-02	0.0000E+00	0.0000E+00	1.0634E+00	4.6950E-01	4.7000E-01	2.9790E-01	2.6490E-01	2.6660E-01	7.8600E-01
55-59__yrs	6.5730E-01	4.1120E-01	3.9840E-01	7.8170E-01	6.3720E-01	4.3520E-01	1.9570E-01	4.7140E-01	1.1188E+00	1.4830E-01	0.0000E+00	0.0000E+00	1.8562E+00	7.4500E-01	6.5490E-01	3.8860E-01	3.2560E-01	3.5610E-01	1.0326E+00
60-64__yrs	8.5890E-01	5.8520E-01	6.0040E-01	1.1744E+00	8.9990E-01	5.4680E-01	2.9460E-01	7.0550E-01	1.8073E+00	2.1650E-01	0.0000E+00	0.0000E+00	2.8760E+00	1.1483E+00	9.3370E-01	5.1630E-01	4.0390E-01	5.0600E-01	1.3968E+00
65-69__yrs	1.0260E+00	7.8860E-01	8.2130E-01	1.6632E+00	1.1862E+00	6.9570E-01	4.1920E-01	9.4960E-01	2.5613E+00	2.9790E-01	0.0000E+00	0.0000E+00	4.0211E+00	1.6523E+00	1.1888E+00	6.3620E-01	4.9740E-01	7.1300E-01	1.7959E+00
70-74__yrs	1.1484E+00	9.3840E-01	1.0209E+00	2.1414E+00	1.3934E+00	8.3610E-01	5.5730E-01	1.1926E+00	3.2345E+00	3.4510E-01	0.0000E+00	0.0000E+00	4.6018E+00	2.1673E+00	1.3790E+00	7.7140E-01	5.1630E-01	9.2140E-01	2.1691E+00
75-79__yrs	1.2790E+00	1.1123E+00	1.2727E+00	2.6755E+00	1.6588E+00	9.8660E-01	7.0710E-01	1.4712E+00	3.8703E+00	4.0420E-01	0.0000E+00	0.0000E+00	4.9934E+00	2.7578E+00	1.6211E+00	9.0150E-01	5.4860E-01	1.1635E+00	2.6101E+00
80-84__yrs	1.5511E+00	1.3688E+00	1.7293E+00	3.5831E+00	2.0532E+00	1.1521E+00	9.6710E-01	1.9271E+00	4.6654E+00	5.5930E-01	0.0000E+00	0.0000E+00	5.5150E+00	3.6671E+00	1.9558E+00	1.0546E+00	6.2620E-01	1.6039E+00	3.3951E+00
>=85___yrs	1.8847E+00	1.5425E+00	2.0725E+00	4.5029E+00	2.4297E+00	1.2778E+00	1.2520E+00	2.2797E+00	5.0375E+00	7.2500E-01	0.0000E+00	0.0000E+00	6.0970E+00	4.4997E+00	2.1650E+00	1.1416E+00	5.9810E-01	2.0185E+00	4.0297E+00
Fem_rate__	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	4.0900E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.3506E+00	0.0000E+00	4.0900E-02	4.0900E-02	0.0000E+00	0.0000E+00	4.0900E-02	0.0000E+00	8.1900E-02	1.4325E+00	3.7244E+00	0.0000E+00	4.9114E+00	1.0478E+01
01-04__yrs	5.2700E-02	0.0000E+00	3.1600E-02	0.0000E+00	0.0000E+00	4.0040E-01	1.0500E-02	2.1100E-02	3.1600E-02	0.0000E+00	0.0000E+00	5.2700E-02	0.0000E+00	4.2100E-02	1.8967E+00	3.9408E+00	2.1100E-02	8.5244E+00	4.2886E+00
05-09__yrs	9.9600E-02	0.0000E+00	8.3000E-03	0.0000E+00	0.0000E+00	8.3000E-02	0.0000E+00	8.3000E-03	8.3000E-03	0.0000E+00	3.3200E-02	2.7390E-01	0.0000E+00	1.6600E-02	4.6480E-01	3.2370E+00	1.4940E-01	3.9674E+00	1.8094E+00
10-14__yrs	2.9740E-01	8.0000E-03	3.2200E-02	7.2300E-02	8.0000E-03	8.8400E-02	8.0000E-03	1.6100E-02	3.2200E-02	8.0000E-03	5.6300E-02	7.9570E-01	0.0000E+00	8.0000E-03	1.6880E-01	2.5640E+00	8.8420E-01	2.8534E+00	3.3116E+00
15-19__yrs	2.9500E-01	8.4000E-03	5.0600E-02	2.3600E-01	4.2100E-02	1.0110E-01	0.0000E+00	4.2100E-02	1.5170E-01	1.3490E-01	2.2760E-01	1.5171E+00	0.0000E+00	6.7400E-02	2.1910E-01	2.0902E+00	3.3291E+00	2.2166E+00	5.6216E+00
20-24__yrs	7.0830E-01	2.5900E-02	1.5550E-01	5.0960E-01	3.3690E-01	1.4680E-01	2.5900E-02	6.9100E-02	3.5420E-01	1.2871E+00	1.8917E+00	1.7622E+00	0.0000E+00	2.1600E-01	2.8510E-01	2.3236E+00	8.5776E+00	1.9781E+00	1.0236E+01
25-29__yrs	9.2590E-01	2.6500E-02	3.5270E-01	1.1287E+00	6.7020E-01	1.4110E-01	9.7000E-02	2.4690E-01	5.8200E-01	7.5838E+00	7.8307E+00	2.1958E+00	0.0000E+00	3.6160E-01	6.3490E-01	2.9365E+00	1.3977E+01	2.0899E+00	1.5591E+01
30-34__yrs	1.3820E+00	8.0800E-02	8.1630E-01	2.4326E+00	1.5598E+00	1.2120E-01	1.2930E-01	4.2030E-01	1.2446E+00	2.5353E+01	1.5671E+01	3.0145E+00	0.0000E+00	5.8190E-01	1.4386E+00	2.9903E+00	1.7934E+01	2.5700E+00	2.0100E+01
