2001-2005	Brazil	Baseline	Incidence	Rates
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
45-49__yrs	1.0753E+00	6.8940E-01	8.0200E-01	6.0370E-01	5.5660E-01	3.2470E-01	2.4070E-01	3.9520E-01	8.1290E-01	0.0000E+00	0.0000E+00	0.0000E+00	7.6390E-01	4.1190E-01	4.9770E-01	5.1350E-01	4.1590E-01	4.0670E-01	1.7978E+00
50-54__yrs	1.4945E+00	9.9750E-01	1.1703E+00	8.9350E-01	8.3870E-01	4.7400E-01	3.8360E-01	6.1300E-01	1.2909E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5949E+00	6.5520E-01	6.6030E-01	7.1480E-01	5.2360E-01	5.1460E-01	2.5069E+00
55-59__yrs	2.0971E+00	1.4675E+00	1.8304E+00	1.4584E+00	1.2678E+00	6.8710E-01	5.6320E-01	9.5340E-01	2.1380E+00	0.0000E+00	0.0000E+00	0.0000E+00	3.1336E+00	1.1941E+00	9.9980E-01	9.7680E-01	6.5910E-01	7.2090E-01	3.7776E+00
60-64__yrs	2.4688E+00	1.8443E+00	2.5014E+00	1.9173E+00	1.6912E+00	8.5750E-01	7.2710E-01	1.2578E+00	3.0001E+00	0.0000E+00	0.0000E+00	0.0000E+00	4.9397E+00	1.6399E+00	1.3017E+00	1.1915E+00	7.0390E-01	9.5270E-01	5.0091E+00
65-69__yrs	2.9750E+00	2.4020E+00	3.5074E+00	2.7549E+00	2.4051E+00	1.2285E+00	1.1883E+00	1.7183E+00	4.2943E+00	0.0000E+00	0.0000E+00	0.0000E+00	7.5583E+00	2.5141E+00	1.6670E+00	1.5714E+00	9.9840E-01	1.3685E+00	7.0217E+00
70-74__yrs	3.4718E+00	2.7617E+00	4.6534E+00	3.6806E+00	3.0833E+00	1.3181E+00	1.5917E+00	2.4000E+00	5.6675E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.0280E+01	3.5497E+00	2.0199E+00	1.9218E+00	1.0328E+00	1.8184E+00	9.2665E+00
75-79__yrs	4.5591E+00	3.8703E+00	6.7496E+00	5.4672E+00	4.6079E+00	1.9276E+00	2.2852E+00	3.3773E+00	7.8487E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.5014E+01	5.4703E+00	2.7430E+00	2.7367E+00	1.4595E+00	2.7430E+00	1.4448E+01
80-84__yrs	4.5722E+00	4.6439E+00	8.8560E+00	7.3088E+00	5.7556E+00	2.2485E+00	3.0179E+00	4.2734E+00	8.6074E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.8729E+01	7.4526E+00	3.6608E+00	3.0257E+00	2.2680E+00	3.4757E+00	2.2164E+01
>=85___yrs	4.5722E+00	4.6439E+00	8.8560E+00	7.3088E+00	5.7556E+00	2.2485E+00	3.0179E+00	4.2734E+00	8.6074E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.8729E+01	7.4526E+00	3.6608E+00	3.0257E+00	2.2680E+00	3.4757E+00	2.2164E+01
Fem_rate__	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	2.4261E-01	5.1987E-02	5.1987E-02	1.7329E-02	3.4658E-02	1.7329E-02	0.0000E+00	0.0000E+00	8.6645E-02	0.0000E+00	0.0000E+00	2.5994E-01	0.0000E+00	5.1987E-02	2.2181E+00	2.8246E+00	0.0000E+00	3.3027E+00	5.1641E+00
01-04__yrs	2.4261E-01	5.1987E-02	5.1987E-02	1.7329E-02	3.4658E-02	1.7329E-02	0.0000E+00	0.0000E+00	8.6645E-02	0.0000E+00	0.0000E+00	2.5994E-01	0.0000E+00	5.1987E-02	2.2181E+00	2.8246E+00	0.0000E+00	7.2077E+00	5.1641E+00
05-09__yrs	2.3102E-01	0.0000E+00	5.3313E-02	5.3313E-02	0.0000E+00	0.0000E+00	0.0000E+00	3.5542E-02	5.3313E-02	1.7771E-02	3.5542E-02	3.9096E-01	0.0000E+00	1.7771E-02	9.4186E-01	3.1632E+00	1.4217E-01	4.7271E+00	3.2343E+00
10-14__yrs	4.2939E-01	0.0000E+00	3.3030E-02	1.6515E-02	0.0000E+00	4.9545E-02	0.0000E+00	3.3030E-02	4.9545E-02	3.3030E-02	3.3030E-02	9.7439E-01	0.0000E+00	3.3030E-02	1.3212E-01	2.3286E+00	5.7803E-01	3.1214E+00	4.0958E+00
15-19__yrs	5.6510E-01	1.4127E-02	1.5540E-01	7.0637E-02	2.8255E-02	7.0637E-02	1.4127E-02	8.4765E-02	1.4127E-01	4.0970E-01	6.0748E-01	1.3421E+00	0.0000E+00	1.4127E-01	1.5540E-01	1.5823E+00	2.0626E+00	2.6842E+00	4.7468E+00
20-24__yrs	1.3107E+00	4.1830E-02	6.1351E-01	4.7407E-01	3.7647E-01	9.7603E-02	1.1155E-01	1.3943E-01	2.7887E-01	2.3146E+00	3.4858E+00	1.5895E+00	0.0000E+00	1.1155E-01	3.0675E-01	1.6035E+00	5.3403E+00	2.8026E+00	6.7904E+00
25-29__yrs	1.5403E+00	1.4146E-01	1.4460E+00	1.1945E+00	1.1002E+00	1.1002E-01	1.5718E-01	1.4146E-01	5.8156E-01	8.8648E+00	1.1050E+01	2.3734E+00	0.0000E+00	1.5718E-01	4.7153E-01	2.5777E+00	9.6193E+00	2.2476E+00	1.2276E+01
30-34__yrs	2.1172E+00	2.0325E-01	3.3028E+00	2.5575E+00	1.7954E+00	1.8631E-01	4.2343E-01	4.7424E-01	1.3380E+00	2.4220E+01	2.1646E+01	3.1673E+00	0.0000E+00	4.9118E-01	5.0812E-01	2.9640E+00	1.4820E+01	2.5914E+00	2.0088E+01
35-39__yrs	2.7370E+00	4.2655E-01	4.5321E+00	3.9811E+00	3.5724E+00	2.3105E-01	8.1756E-01	7.2869E-01	3.0747E+00	5.3941E+01	3.1760E+01	5.5452E+00	0.0000E+00	7.9978E-01	1.4218E+00	3.9811E+00	1.7595E+01	3.0925E+00	3.0996E+01
40-44__yrs	4.5660E+00	1.0958E+00	7.4071E+00	8.5435E+00	6.5953E+00	3.6528E-01	1.3597E+00	1.8467E+00	7.1027E+00	1.0459E+02	4.6878E+01	1.0086E+01	0.0000E+00	1.5017E+00	2.3134E+00	4.5660E+00	2.3216E+01	3.6325E+00	5.5908E+01
45-49__yrs	7.1948E+00	2.6828E+00	1.1731E+01	1.4560E+01	1.2048E+01	6.5850E-01	3.4389E+00	3.5608E+00	1.4999E+01	1.6268E+02	6.2290E+01	1.4755E+01	0.0000E+00	3.2194E+00	3.7559E+00	7.5118E+00	2.9438E+01	5.3900E+00	8.4874E+01
50-54__yrs	1.0066E+01	5.3382E+00	1.7021E+01	2.1871E+01	1.9126E+01	1.3422E+00	6.1618E+00	6.4058E+00	2.3061E+01	2.0611E+02	7.7632E+01	2.1902E+01	0.0000E+00	4.8501E+00	6.4973E+00	9.9748E+00	3.3859E+01	7.1684E+00	1.2137E+02
55-59__yrs	1.4996E+01	8.4924E+00	2.5353E+01	3.3307E+01	2.7134E+01	2.3613E+00	8.7824E+00	1.3049E+01	3.9769E+01	2.4400E+02	1.0572E+02	3.0324E+01	0.0000E+00	9.3209E+00	9.0309E+00	1.4458E+01	3.2975E+01	7.2910E+00	1.8381E+02
60-64__yrs	1.8755E+01	1.1661E+01	3.9064E+01	4.5234E+01	3.6732E+01	3.0610E+00	1.2973E+01	1.8074E+01	5.6944E+01	2.5066E+02	1.1952E+02	3.5663E+01	0.0000E+00	1.0203E+01	1.1321E+01	1.5985E+01	2.7597E+01	1.0689E+01	2.3322E+02
65-69__yrs	2.3490E+01	1.4909E+01	5.1057E+01	6.5176E+01	4.4059E+01	3.8947E+00	2.1969E+01	2.6959E+01	7.1079E+01	2.8072E+02	1.3613E+02	4.2477E+01	0.0000E+00	1.9595E+01	1.5883E+01	1.9230E+01	2.5802E+01	1.2658E+01	3.3720E+02
70-74__yrs	2.8659E+01	1.5255E+01	7.2055E+01	8.7384E+01	5.6133E+01	4.7395E+00	2.7993E+01	3.8804E+01	8.1830E+01	2.8052E+02	1.3885E+02	4.5173E+01	0.0000E+00	2.5697E+01	1.7181E+01	2.2513E+01	2.1328E+01	1.7255E+01	4.4329E+02
75-79__yrs	3.7805E+01	2.1651E+01	9.7598E+01	1.3294E+02	7.6059E+01	6.3944E+00	3.3430E+01	5.2277E+01	1.0186E+02	3.5393E+02	1.5504E+02	5.4969E+01	0.0000E+00	3.8815E+01	2.0866E+01	2.8719E+01	2.6587E+01	2.4680E+01	6.8521E+02
80-84__yrs	5.2452E+01	3.0848E+01	1.5445E+02	1.9568E+02	1.0459E+02	7.0629E+00	4.8090E+01	8.1015E+01	1.1082E+02	4.5566E+02	1.9111E+02	5.8996E+01	0.0000E+00	6.0969E+01	2.8875E+01	3.4795E+01	6.0554E+01	3.5003E+01	1.3664E+03
>=85___yrs	5.2452E+01	3.0848E+01	1.5445E+02	1.9568E+02	1.0459E+02	7.0629E+00	4.8090E+01	8.1015E+01	1.1082E+02	4.5566E+02	1.9111E+02	5.8996E+01	0.0000E+00	6.0969E+01	2.8875E+01	3.4795E+01	6.0554E+01	3.5003E+01	1.3664E+03
Fem_se____	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	6.4800E-02	3.0000E-02	3.0000E-02	1.7300E-02	2.4500E-02	0.0000E+00	0.0000E+00	0.0000E+00	3.8700E-02	0.0000E+00	0.0000E+00	6.7100E-02	0.0000E+00	3.0000E-02	1.9610E-01	2.2120E-01	0.0000E+00	5.3580E-01	2.9910E-01
01-04__yrs	6.4800E-02	3.0000E-02	3.0000E-02	1.7300E-02	2.4500E-02	0.0000E+00	0.0000E+00	0.0000E+00	3.8700E-02	0.0000E+00	0.0000E+00	6.7100E-02	0.0000E+00	3.0000E-02	1.9610E-01	2.2120E-01	0.0000E+00	3.9500E-01	2.9910E-01
05-09__yrs	6.4100E-02	0.0000E+00	3.0800E-02	3.0800E-02	0.0000E+00	0.0000E+00	0.0000E+00	2.5100E-02	3.0800E-02	1.7800E-02	2.5100E-02	8.3400E-02	0.0000E+00	1.7800E-02	1.2940E-01	2.3710E-01	5.0300E-02	2.8980E-01	2.3970E-01
10-14__yrs	8.4200E-02	0.0000E+00	2.3400E-02	1.6500E-02	0.0000E+00	2.8600E-02	0.0000E+00	2.3400E-02	2.8600E-02	2.3400E-02	2.3400E-02	1.2690E-01	0.0000E+00	2.3400E-02	4.6700E-02	1.9610E-01	9.7700E-02	2.2700E-01	2.6010E-01
15-19__yrs	8.9300E-02	1.4100E-02	4.6900E-02	3.1600E-02	2.0000E-02	3.1600E-02	1.4100E-02	3.4600E-02	4.4700E-02	7.6100E-02	9.2600E-02	1.3770E-01	0.0000E+00	4.4700E-02	4.6900E-02	1.4950E-01	1.7070E-01	1.9470E-01	2.5900E-01
20-24__yrs	1.3520E-01	2.4200E-02	9.2500E-02	8.1300E-02	7.2500E-02	3.9800E-02	3.9400E-02	4.4100E-02	6.2400E-02	1.7960E-01	2.2050E-01	1.4890E-01	0.0000E+00	3.9400E-02	6.5400E-02	1.4950E-01	2.7290E-01	1.9770E-01	3.0770E-01
